State,District,Solar Irradiance,Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Elect(%),GW_dev_stage (%),Surface water area (km2)-%,Cultivated land (%),Electricity Subsidy,GW share irr (% of IWU),WL (m),Small& Marginal % Holdings
chhattisgarh,Uttar Bastar Kanker,5.2,109.77,16.9,44.83,0,33.66,0,28.84,0,20.93,6.2,69.83
andhra pradesh,Vizianagaram,5.03,136.6,52.9,56.2,79,23.14,12.11,34.67,0,20.53,4.5,93.53
bihar,Araria,4.45,120.27,74.9,40.27,19,26.08,8.19,31.35,67.5,73.33,3.7,95.98
tamil nadu,Ariyalur,5.37,121.8,39.2,53.99,0,52.02,1.76,50.34,0,64.77,4.5,94.74
rajasthan,Banswara,5.4,160.5,34.2,77.29,44,67.23,0.49,51.53,167,23.73,5.66,88.94
maharashtra,Bhandara,5.25,144.19,16.1,68.73,100,30.22,0.67,44.73,155,36.84,8.65,91.61
bihar,Buxar,4.82,136.99,89,65.28,48,42.48,1.55,80.52,67.5,33.63,7.5,91.09
mizoram,Champhai,4.74,100,26.5,41.41,0,2.82,0.02,6.2,380,0,1.64,97
bihar,Jamui,4.87,139.05,46.1,53.85,25,32.65,8.46,21.11,67.5,27.02,7.1,97.24
odisha,Kendujhar,4.98,103.43,9.5,30.67,23,44.54,0.06,27.07,150,11.77,5.09,94.96
andhra pradesh,Krishna,5.14,159.04,55.4,63.03,98,25.63,8.46,52.78,0,13.87,6,91.48
west bengal,Nadia,4.71,227.94,24.2,43.52,12,85.71,1.62,75.11,460,97.41,4.97,97.32
jharkhand,Purbi Singhbhum,4.97,112.22,2.6,32.78,7,30.41,7.3,10.94,95,56.02,8.9,89.3
bihar,Purnia,4.53,102.09,90.4,38.03,1,32.77,90.35,40.11,67.5,86.25,4.3,91.78
bihar,Rohtas,4.96,168.5,96.7,61.56,15,40.24,0.22,63.77,67.5,23.01,7.3,95.19
madhya pradesh,Shahdol,5.22,144.72,15,68.05,95,13.36,0.44,36.57,135,46.19,9.6,82.28
bihar,Sheikhpura,4.83,124.36,90.1,61.32,3,54.53,76.37,72.86,67.5,82.08,5.5,97.99
bihar,Siwan,4.73,134.72,49.9,68.06,22,54.26,0.46,74.37,67.5,90.04,5.2,98.47
west bengal,South 24 Parganas,4.71,173.95,0,42.31,52,0,10.66,37.77,460,21.25,7.1,98.74
puducherry,Yanam,5.07,139.51,0,73.53,0,0,0.69,20.33,0,23.68,2.7,90.49
maharashtra,Nandurbar,5.21,116.53,22.9,73.41,0,38.08,0.58,36.38,155,66.19,9.76,68.5
odisha,Anugul,5.04,104.09,11.9,35.03,0,53.08,3.34,19.46,150,25.8,5.7,96.6
madhya pradesh,Balaghat,5.23,152.18,51,69.9,95,23.5,0.61,34.18,135,15.99,6.5,89.81
chhattisgarh,Baloda Bazar,5.22,108.22,47.3,46.07,99,48.56,0.25,51.47,0,12.3,7.01,90.05
uttar pradesh,Banda,5.03,135.7,57.7,73.46,2,66.11,0.01,77.4,0,48.05,6.53,80.96
